Demographic,Year,Period,Month,Unemployment_rate,date
Asian,2021,M06,Jun,5.7,6/1/2021
Asian,2021,M07,Jul,5.2,7/1/2021
Asian,2021,M08,Aug,4.5,8/1/2021
Asian,2021,M09,Sep,4.2,9/1/2021
Asian,2021,M10,Oct,4.2,10/1/2021
Asian,2021,M11,Nov,3.9,11/1/2021
Asian,2021,M12,Dec,3.8,12/1/2021
Hispanic,2010,M01,Jan,12.9,1/1/2010
Hispanic,2010,M02,Feb,12.7,2/1/2010
Hispanic,2010,M03,Mar,12.9,3/1/2010
Hispanic,2010,M04,Apr,12.5,4/1/2010
Hispanic,2010,M05,May,12,5/1/2010
Hispanic,2010,M06,Jun,12.3,6/1/2010
Hispanic,2010,M07,Jul,12.2,7/1/2010
Hispanic,2010,M08,Aug,12,8/1/2010
Hispanic,2010,M09,Sep,12.3,9/1/2010
Hispanic,2010,M10,Oct,12.3,10/1/2010
Hispanic,2010,M11,Nov,12.9,11/1/2010
Hispanic,2010,M12,Dec,12.9,12/1/2010
Hispanic,2011,M01,Jan,12.3,1/1/2011
Hispanic,2011,M02,Feb,11.8,2/1/2011
Hispanic,2011,M03,Mar,11.6,3/1/2011
Hispanic,2011,M04,Apr,11.9,4/1/2011
Hispanic,2011,M05,May,11.6,5/1/2011
Hispanic,2011,M06,Jun,11.5,6/1/2011
Hispanic,2011,M07,Jul,11.2,7/1/2011
Hispanic,2011,M08,Aug,11.2,8/1/2011
Hispanic,2011,M09,Sep,11.2,9/1/2011
Hispanic,2011,M10,Oct,11.3,10/1/2011
Hispanic,2011,M11,Nov,11.2,11/1/2011
Hispanic,2011,M12,Dec,11.1,12/1/2011
Hispanic,2012,M01,Jan,10.7,1/1/2012
Hispanic,2012,M02,Feb,10.9,2/1/2012
Hispanic,2012,M03,Mar,10.6,3/1/2012
Hispanic,2012,M04,Apr,10.3,4/1/2012
Hispanic,2012,M05,May,10.9,5/1/2012
Hispanic,2012,M06,Jun,10.9,6/1/2012
Hispanic,2012,M07,Jul,10.2,7/1/2012
Hispanic,2012,M08,Aug,10.1,8/1/2012
Hispanic,2012,M09,Sep,9.7,9/1/2012
Hispanic,2012,M10,Oct,10,10/1/2012
Hispanic,2012,M11,Nov,9.9,11/1/2012
Hispanic,2012,M12,Dec,9.6,12/1/2012
Hispanic,2013,M01,Jan,9.7,1/1/2013
Hispanic,2013,M02,Feb,9.7,2/1/2013
Hispanic,2013,M03,Mar,9.3,3/1/2013
Hispanic,2013,M04,Apr,9,4/1/2013
Hispanic,2013,M05,May,9,5/1/2013
Hispanic,2013,M06,Jun,9.1,6/1/2013
Hispanic,2013,M07,Jul,9.4,7/1/2013
Hispanic,2013,M08,Aug,9.2,8/1/2013
Hispanic,2013,M09,Sep,8.8,9/1/2013
Hispanic,2013,M10,Oct,9.1,10/1/2013
Hispanic,2013,M11,Nov,8.7,11/1/2013
Hispanic,2013,M12,Dec,8.3,12/1/2013
Hispanic,2014,M01,Jan,8.3,1/1/2014
Hispanic,2014,M02,Feb,8.2,2/1/2014
Hispanic,2014,M03,Mar,7.9,3/1/2014
Hispanic,2014,M04,Apr,7.2,4/1/2014
Hispanic,2014,M05,May,7.7,5/1/2014
Hispanic,2014,M06,Jun,7.8,6/1/2014
Hispanic,2014,M07,Jul,7.7,7/1/2014
Hispanic,2014,M08,Aug,7.4,8/1/2014
Hispanic,2014,M09,Sep,6.8,9/1/2014
Hispanic,2014,M10,Oct,6.8,10/1/2014
Hispanic,2014,M11,Nov,6.6,11/1/2014
Hispanic,2014,M12,Dec,6.4,12/1/2014
Hispanic,2015,M01,Jan,6.7,1/1/2015
Hispanic,2015,M02,Feb,6.8,2/1/2015
Hispanic,2015,M03,Mar,6.8,3/1/2015
Hispanic,2015,M04,Apr,6.8,4/1/2015
Hispanic,2015,M05,May,6.8,5/1/2015
Hispanic,2015,M06,Jun,6.7,6/1/2015
Hispanic,2015,M07,Jul,6.9,7/1/2015
Hispanic,2015,M08,Aug,6.6,8/1/2015
Hispanic,2015,M09,Sep,6.2,9/1/2015
Hispanic,2015,M10,Oct,6.3,10/1/2015
Hispanic,2015,M11,Nov,6.4,11/1/2015
Hispanic,2015,M12,Dec,6.2,12/1/2015
Hispanic,2016,M01,Jan,5.9,1/1/2016
Hispanic,2016,M02,Feb,5.5,2/1/2016
Hispanic,2016,M03,Mar,5.6,3/1/2016
Hispanic,2016,M04,Apr,6.2,4/1/2016
Hispanic,2016,M05,May,5.7,5/1/2016
Hispanic,2016,M06,Jun,6,6/1/2016
Hispanic,2016,M07,Jul,5.4,7/1/2016
Hispanic,2016,M08,Aug,5.6,8/1/2016
Hispanic,2016,M09,Sep,6.2,9/1/2016
Hispanic,2016,M10,Oct,5.7,10/1/2016
Hispanic,2016,M11,Nov,5.6,11/1/2016
Hispanic,2016,M12,Dec,5.8,12/1/2016
Hispanic,2017,M01,Jan,5.8,1/1/2017
Hispanic,2017,M02,Feb,5.6,2/1/2017
Hispanic,2017,M03,Mar,5,3/1/2017
Hispanic,2017,M04,Apr,5.2,4/1/2017
Hispanic,2017,M05,May,5.2,5/1/2017
Hispanic,2017,M06,Jun,5,6/1/2017
Hispanic,2017,M07,Jul,5.1,7/1/2017
Hispanic,2017,M08,Aug,5.1,8/1/2017
Hispanic,2017,M09,Sep,5.1,9/1/2017
Hispanic,2017,M10,Oct,5,10/1/2017
Hispanic,2017,M11,Nov,4.9,11/1/2017
Hispanic,2017,M12,Dec,5,12/1/2017
Hispanic,2018,M01,Jan,4.9,1/1/2018
Hispanic,2018,M02,Feb,4.9,2/1/2018
Hispanic,2018,M03,Mar,4.9,3/1/2018
Hispanic,2018,M04,Apr,4.7,4/1/2018
Hispanic,2018,M05,May,4.8,5/1/2018
Hispanic,2018,M06,Jun,4.6,6/1/2018
Hispanic,2018,M07,Jul,4.5,7/1/2018
Hispanic,2018,M08,Aug,4.7,8/1/2018
Hispanic,2018,M09,Sep,4.6,9/1/2018
Hispanic,2018,M10,Oct,4.4,10/1/2018
Hispanic,2018,M11,Nov,4.7,11/1/2018
Hispanic,2018,M12,Dec,4.5,12/1/2018
Hispanic,2019,M01,Jan,4.7,1/1/2019
Hispanic,2019,M02,Feb,4.3,2/1/2019
Hispanic,2019,M03,Mar,4.5,3/1/2019
Hispanic,2019,M04,Apr,4.1,4/1/2019
Hispanic,2019,M05,May,4.2,5/1/2019
Hispanic,2019,M06,Jun,4.3,6/1/2019
Hispanic,2019,M07,Jul,4.4,7/1/2019
Hispanic,2019,M08,Aug,4.2,8/1/2019
Hispanic,2019,M09,Sep,4,9/1/2019
Hispanic,2019,M10,Oct,4.2,10/1/2019
Hispanic,2019,M11,Nov,4.3,11/1/2019
Hispanic,2019,M12,Dec,4.3,12/1/2019
Hispanic,2020,M01,Jan,4.3,1/1/2020
Hispanic,2020,M02,Feb,4.4,2/1/2020
